Year,Origin,Dest,count
2007,LAS,ELP,1
2007,LAS,MSY,1
2007,LAS,ONT,7
2007,LAX,PHL,2
2007,LAX,SJC,6
1989,OGG,SFO,22
1993,BTV,PHL,18
2001,BOS,PHL,8
2004,SEA,DEN,3
2006,CLT,FLL,6
2006,DCA,LAS,1
2006,PHX,SNA,2
2007,BWI,ABQ,1
2007,LAS,TUS,5
2007,LAX,MDW,7
2008,LAS,MDW,8
2008,SAT,DAL,12
1987,SAN,LAS,3
1991,BNA,PIT,3
1993,PIT,IND,21
2003,DEN,CLE,5
2004,LAS,ORD,17
2006,CLT,RSW,4
2006,PHX,EWR,4
2007,ABQ,SEA,1
2007,ABQ,TPA,1
2008,LAS,STL,3
2008,RDU,PHL,6
2008,SEA,RNO,2
2008,SJC,PHX,4
2001,PIT,IAD,8
2002,GSO,PIT,1
2003,DEN,MCO,3
2006,BNA,CLT,3
2006,DCA,PHL,2
2007,ELP,DAL,4
2007,LAX,STL,1
2007,MCI,IND,2
2008,MHT,BWI,8
1989,EWR,LAX,18
1991,ICT,MCI,4
2006,DCA,JAX,3
2006,MCI,CLT,1
2006,PHX,ATL,4
2006,CLT,RDU,3
2007,LAS,SNA,2
2007,LAX,SLC,4
2008,LAS,RNO,10
2008,LAX,STL,1
2008,OAK,SAN,15
2008,OKC,BWI,1
1993,CRW,PIT,18
2003,DEN,IND,7
2004,DTW,ORD,13
2005,SNA,ORD,15
2006,DCA,FLL,5
2006,FLL,BOS,1
2006,PIT,MCO,3
2006,CLT,CHS,1
1987,BUR,SMF,19
1993,ROC,BOS,16
2003,IND,DEN,11
2006,JAX,CLT,1
2007,MCO,JAN,1
2008,PHX,BNA,3
2008,PHX,MHT,1
1988,GSO,BWI,28
2003,GRR,ORD,3
2006,LAS,BOS,2
2006,LAX,PHX,1
2007,STL,HOU,1
2007,HOU,FLL,1
2007,JAN,MCO,1
2008,RNO,PHX,3
1991,CLE,LGA,18
1993,PIT,DCA,46
2001,PHL,BDL,1
2002,PIT,BOS,9
2004,DEN,SMF,5
2006,ORD,PHL,6
2007,SNA,SMF,3
1995,PWM,PHL,40
2002,PIT,CLT,4
2005,PHL,DEN,5
2006,MIA,PHL,3
2007,ALB,MDW,1
2007,LAX,HOU,4
2007,MCO,ABQ,2
2008,PHX,MDW,5
2008,PHX,PIT,1
1990,TUS,LAX,25
1993,DCA,BOS,6
1993,PHL,RDU,12
1993,MIA,PIT,14
1994,PHL,ALB,18
1994,DCA,BUF,8
1999,ROC,PHL,102
2001,PIT,MKE,12
2003,EWR,ORD,3
2004,TPA,ORD,5
2006,BDL,DCA,4
2006,PHL,FLL,6
2008,LAS,LAX,13
2008,RNO,OAK,4
1994,BOS,MCO,2
2001,PIT,EWR,9
2006,PHX,TPA,2
2007,BNA,RDU,5
2008,ONT,PHX,6
1991,BWI,IND,8
1991,EWR,BOS,22
1993,PHL,JAX,17
2003,ORD,ATL,11
2003,SFO,SEA,10
2005,MDT,ORD,20
2006,CLT,BUF,3
2007,HOU,ABQ,1
2008,LAS,BOI,2
2008,PDX,SMF,7
2008,PHL,JAX,1
1991,MCI,SAN,15
2001,CLT,TPA,26
2001,PHL,BTV,9
2004,DEN,ONT,12
2005,LAX,PDX,12
2005,BUR,DEN,13
2006,MCO,PHX,1
2006,PHX,SFO,3
2006,CLT,DTW,1
2007,TPA,STL,1
2007,MCO,MDW,2
2007,MDW,LAS,3
1988,CHO,LGA,19
1989,LAX,HNL,29
1990,PHL,CMH,21
1992,PIT,MCI,15
2003,SYR,ORD,2
2005,IND,ORD,4
2006,BOS,PIT,1
2006,PHL,BWI,2
2006,PHX,MCO,2
2006,CMH,CLT,1
2007,HOU,LAX,1
2008,RDU,BWI,5
1987,SFO,RNO,28
1990,CLE,IND,14
1990,LAS,BUR,13
1992,PIT,ABE,22
2001,CLT,BNA,20
2002,PHL,DTW,20
2003,DEN,DFW,4
2006,PHL,ORD,6
2007,JAX,BHM,1
2008,MCO,DEN,1
2008,PHX,BHM,1
2008,PHX,STL,2
1988,CLT,LYH,23
1989,DEN,HNL,16
1999,SFO,PHL,97
2004,IAD,MCO,7
2007,LAS,ALB,1
2008,ISP,TPA,2
2008,LAX,MDW,5
2008,LAX,OAK,19
2008,MCO,DTW,2
2008,PHX,PHL,2
2008,SAN,MDW,3
1987,LAS,SAN,4
1989,HNL,KOA,11
1990,IND,LAX,47
1994,PHL,ROC,3
1994,IND,BWI,20
1999,RIC,PHL,3
2002,CLT,CHS,3
2004,TUS,ORD,11
2006,RDU,PHX,1
2006,ATL,DCA,1
2007,MDW,DTW,4
2008,MSY,FLL,1
2008,PHX,OKC,1
1989,DEN,ORD,123
1992,PIT,ABQ,15
2002,CLT,STL,16
2006,BDL,PHL,4
2007,STL,CMH,1
2007,CLE,STL,1
2007,MDW,FLL,3
2008,MDW,MCO,8
2008,PIT,PHL,3
1994,IND,TPA,24
2006,PIT,LGA,4
2007,HOU,BNA,2
2007,LAS,IAD,1
2008,MCI,ABQ,1
1988,BUR,OAK,51
1994,CHS,DCA,16
1994,PIT,TOL,13
2001,BHM,CLT,22
2003,LAS,LAX,1
2006,PIT,PHL,7
2006,CLT,CLE,1
2007,ABQ,MCI,2
2007,BWI,PBI,1
2007,LAS,SEA,3
2008,MCO,PIT,3
2008,SEA,ABQ,2
2008,SEA,MCI,1
1990,CMH,IND,16
1994,DCA,CHS,21
2001,PHL,DCA,11
2004,ORD,SNA,11
2004,BWI,DEN,6
2006,EWR,CLT,5
2006,PHX,DFW,2
2006,DFW,LAS,1
2007,MCI,STL,4
2007,MCO,MHT,1
2008,LAS,TUL,1
1991,PBI,CLT,5
1994,CVG,PIT,22
2007,TPA,BWI,5
2007,BWI,ISP,2
2007,DAL,MAF,5
2007,LAS,PHX,11
2008,RNO,SAN,1
1990,PIT,BOS,24
1994,LAX,PIT,8
1996,CLT,PHX,51
2002,PHL,ALB,3
2006,LAS,CLT,2
2006,PHL,BDL,1
2007,STL,CLE,1
2007,ELP,LBB,1
2007,JAX,TPA,2
2007,LAS,IND,1
2007,MCI,BWI,1
2008,LAS,ABQ,4
2008,MDW,RSW,2
2008,OKC,PHX,3
2008,RSW,BWI,2
1992,LAN,DAY,4
1996,ATL,PHX,166
2001,AVP,PHL,7
2002,CLT,ATL,11
2003,DEN,DTW,4
2003,DEN,MCI,7
2004,SLC,ORD,19
2006,BOS,CLT,5
2006,CLT,LAX,2
2006,SJU,BOS,1
2007,LAX,LAS,12
2008,SAT,SAN,1
1989,ORD,ABE,41
1991,ISP,PIT,6
1993,PIT,CLE,3
1993,TUS,PHX,12
1999,SLC,PHL,16
2001,BUF,PIT,6
2002,CLT,RIC,2
2002,CLT,PNS,11
2004,ORD,BUF,15
2005,ALB,ORD,5
2005,CLT,ORD,14
2006,CLT,LGA,14
2006,DCA,ORD,2
2006,LGA,CLT,2
2006,PHX,ORD,4
2007,BHM,BNA,2
2007,HOU,MAF,1
2007,LAS,AMA,1
2008,LAS,GEG,2
2008,LAS,IND,2
2008,MAF,LAS,1
2008,MCO,AUS,1
2008,MDW,ORF,2
2008,PDX,SLC,3
2008,PHX,MCI,3
1992,SAN,PIT,49
1994,EWR,BOS,26
2000,BNA,PHX,47
2002,PBI,BWI,2
2005,GEG,DEN,5
2007,HOU,PHX,1
2007,IND,MCI,1
2007,MCO,HOU,3
2008,JAX,FLL,2
1994,LGA,MIA,22
2003,SAN,ORD,13
2005,DCA,ORD,17
2006,FLL,PHL,7
2006,ORD,PIT,4
2007,ELP,AUS,4
2007,MDW,IAD,5
2008,MCO,CMH,3
1987,LAX,OAK,26
1987,SMF,BUR,23
1988,SJC,BUR,6
1992,MSP,PIT,27
2004,ORD,PDX,25
2005,PIT,ORD,19
2006,PHX,DTW,4
2006,SJU,PHL,2
2006,CLT,SEA,1
2007,ABQ,PHX,6
2007,BOI,PDX,1
2007,CMH,MDW,5
2007,ISP,BWI,5
2007,MDW,LAX,1
2008,MDW,SJC,2
2008,SEA,SLC,2
1989,ORD,OMA,16
1990,BWI,LGA,20
1991,PIT,MDT,11
1992,PIT,IND,17
1997,BNA,PHX,42
2002,PHL,FLL,24
2003,PHL,SFO,1
2003,ORD,TUS,10
2006,PHX,MCI,1
2006,SJC,PHX,1
2007,TUL,MCI,1
2007,HOU,MDW,1
2007,JAX,FLL,4
2007,LAS,BNA,3
1990,PIT,IAH,22
2001,CLT,RIC,6
2002,PIT,DAY,6
2003,DAY,ORD,21
2004,DEN,MCI,12
2006,CLT,PIT,2
2006,PHL,PIT,7
2006,PHL,SJU,2
2006,DTW,CLT,1
2007,AMA,DAL,5
2007,BWI,RDU,2
2007,HOU,HRL,4
2007,HRL,AUS,1
2007,ISP,MDW,2
2008,MCO,MHT,5
2008,PHX,LIT,1
2008,SDF,BHM,1
1989,DEN,DFW,9
2004,ORD,CLT,5
2006,DCA,BOS,11
2006,DTW,LAS,1
2007,MCO,ORF,1
2008,LAS,PHL,2
1988,SCK,LAX,5
1992,PIT,BWI,3
1993,RIC,LGA,3
1998,COS,PHX,49
2005,ORD,BUF,3
2006,LAS,PIT,1
2006,DCA,BTV,2
2008,MCO,IAD,2
2008,PVD,PHL,3
1990,DAY,EWR,25
1991,PIT,ISP,30
2002,CLT,BUF,6
2005,ORD,DCA,9
2006,DCA,RSW,3
2007,TUL,HOU,1
2007,JAX,BWI,1
2008,LAX,SFO,5
1990,SFO,MCI,27
1993,TPA,LGA,6
2004,CLT,DEN,5
2004,DEN,OMA,8
2006,MCI,PHL,1
2006,DCA,MSY,1
2007,GEG,PDX,3
2008,LAS,MHT,1
2008,LAS,SEA,3
2008,SEA,SJC,4
1987,SAN,SFO,11
1994,ROC,EWR,3
1994,IAH,PHL,10
1998,CVG,PHX,35
2005,ORD,SAT,20
2007,BNA,FLL,1
2008,LAS,CMH,2
2008,PHL,CMH,1
1992,ALB,LGA,19
1994,PBI,BWI,3
1994,MDT,PIT,20
2002,PHL,DFW,18
2002,PIT,ABE,6
2006,FLL,DCA,3
2006,LAS,SEA,3
2006,BUF,DCA,1
2007,CLE,BNA,4
2007,LAS,GEG,2
2008,LAX,ABQ,3
2008,MDW,IND,4
2008,OAK,TUS,1
1987,ABQ,LAX,21
1990,MSY,PIT,24
1991,BWI,FAY,8
1992,CMH,IND,18
1992,CLE,BOS,8
1992,PIT,ALB,4
1994,BOS,EWR,29
2002,AVP,PIT,10
2005,ORD,CMH,19
2006,BOS,SJU,2
2007,IND,BWI,1
2008,MCO,BUF,3
2008,PHX,DTW,1
2008,SFO,LAX,3
1989,MCI,DEN,3
1990,CLE,PHL,16
1991,FLL,TPA,18
1992,LAX,IND,24
2000,ATL,PHX,50
2002,ATL,CLT,23
2003,PVD,ORD,6
2005,DEN,SEA,34
2006,LAS,SMF,2
2006,PHX,SLC,1
2007,TPA,FLL,4
2007,JAN,HOU,1
2007,MCO,PHL,6
2008,LAX,RNO,3
2008,MHT,PHL,5
2008,PHL,MCO,5
1987,LAX,PHX,5
1988,SJC,LAX,16
1998,BOS,PHX,28
1999,SYR,PHL,88
2002,PHL,SEA,21
2004,MCO,IAD,3
2006,PIT,DCA,2
2007,DAL,LIT,3
2007,HOU,MSY,6
2007,LAS,HOU,3
2007,MCO,ALB,2
2007,MDW,BNA,7
2008,RNO,LAS,12
1988,SYR,ELM,1
1989,ORD,EWR,10
1989,MSY,IAH,9
1991,PIT,AVP,25
1992,MDT,PIT,14
1992,DAY,BOS,3
1992,LGA,CLT,10
2000,BWI,PHX,135
2006,DFW,CLT,5
2006,SFO,PHX,2
2006,SNA,LAS,1
2008,MHT,LAS,1
2008,ONT,SMF,11
1993,TPA,FLL,1
2001,CLT,JAX,16
2002,DCA,PHL,12
2003,TPA,ORD,8
2007,ABQ,LAX,2
2007,BUR,SMF,7
2007,LAS,ISP,2
2008,LIT,LAS,1
2008,PHX,SMF,6
2008,PIT,TPA,1
2008,RNO,SJC,3
1990,PHL,ALB,22
1993,ROC,PHL,12
1994,BWI,BDL,3
2004,GRR,ORD,5
2004,ORD,PHX,11
2005,MHT,ORD,11
2007,BNA,PHL,1
2007,BWI,MHT,6
2007,LAS,CMH,2
2008,LAS,ORF,1
2008,LAS,SLC,7
2008,PBI,BWI,4
1989,ORD,BOS,7
1990,PIT,SAN,27
1990,PIT,PHX,21
1990,SAN,PIT,21
1991,MCI,PIT,6
2003,DEN,OMA,1
2003,SLC,DEN,2
2005,ORD,SAN,15
2007,SNA,LAS,3
2007,BWI,BUF,3
2008,MDW,ISP,4
2008,PHX,OAK,6
1989,MCI,ORD,25
1990,ISP,PIT,3
1993,BWI,SFO,17
1993,MSY,DCA,9
2001,HPN,PIT,21
2003,DEN,TUL,8
2006,FLL,LGA,4
2007,AUS,TPA,1
2007,BOI,SEA,2
2007,BWI,IND,1
2007,DEN,MDW,3
2007,MCO,FLL,4
1990,SFO,RNO,21
1992,SAN,LAX,15
1999,SAN,PHL,19
2001,PIT,HPN,13
2002,BOS,CLT,7
2002,IND,CLT,7
2003,BOI,DEN,5
2005,ORD,DFW,16
2006,PHL,SYR,1
2006,PHX,IND,2
2007,BWI,MCI,1
2007,BWI,ORF,3
2008,MHT,MCO,4
2008,PHX,ABQ,8
2008,RNO,BOI,2
1988,SEA,LAX,11
2004,ATL,ORD,19
2004,LAX,DEN,18
2006,PHL,MCO,5
2006,PHX,FLL,2
2007,BUR,SJC,5
2007,DAL,ELP,5
2008,SAN,BWI,1
1990,LGA,ORF,14
1990,DCA,PIT,21
1991,IND,MCI,23
1992,PHL,MHT,3
1994,MCO,LGA,23
2006,PVD,DCA,1
2007,AUS,BNA,2
2007,BNA,JAX,3
2008,IAD,TPA,1
1994,BOS,SYR,20
1998,CLE,PHX,39
1999,RSW,PHL,49
2001,PIT,ORD,16
2006,CLT,ROC,2
2006,DCA,ATL,2
2007,SNA,SJC,3
2007,BWI,BNA,4
2007,LAS,ABQ,6
2007,MCI,MCO,2
2008,MCO,MDW,8
2008,MDW,PHL,7
2008,PHL,PHX,1
1989,OMA,ORD,26
1991,CLT,BWI,4
2005,ORD,SJC,4
2007,CMH,MCO,1
2007,MCO,MCI,1
2008,LAS,SFO,6
2008,LBB,AUS,1
1987,OAK,SAN,107
1991,PHF,PIT,8
2001,CLT,CHS,28
2002,CLT,ORF,1
2004,DEN,ATL,13
2007,DEN,HOU,2
2007,LIT,BWI,1
1988,OAK,BUR,40
1994,PHL,GSO,17
1996,BNA,PHX,35
2000,BHM,PHX,10
2002,TPA,PIT,8
2004,BOS,IAD,11
2006,BUF,CLT,2
2006,PHL,DEN,1
2006,CLT,RIC,2
2007,GEG,BOI,1
2008,PHX,BUR,8
1987,SFO,PDX,17
1988,LAX,SAN,11
1989,SFO,PDX,3
1990,PSP,SAN,24
1991,PIT,ROC,17
1991,BWI,BOS,12
1992,SBN,DAY,2
2003,SFO,EUG,3
2004,LAS,LAX,7
2006,LAS,DFW,2
2006,MYR,CLT,1
2007,STL,PHX,3
2007,LAX,ABQ,4
2008,ISP,PBI,2
1988,SFO,RNO,14
2006,PHX,BDL,1
2006,PHX,PIT,1
2007,BDL,BWI,6
2007,LAS,PIT,2
2007,LAS,SDF,1
2008,ONT,OAK,9
2008,PDX,MDW,1
2008,SAN,ABQ,2
2008,SAT,BNA,2
1988,LAX,MRY,2
1994,CLT,BNA,12
2001,PIT,BNA,16
2002,BWI,CLT,10
2003,OKC,DEN,1
2004,ORD,MSP,26
2006,CLT,PVD,6
2007,DEN,BWI,1
2007,LAS,AUS,2
2008,OMA,PHX,3
2008,RNO,PDX,2
1988,ROA,CLT,24
1988,SAN,LAX,1
1989,HOU,ORD,2
1992,EWR,BOS,5
1993,PHX,TUS,17
1993,BUF,LGA,11
1995,PIT,PHL,222
2002,ORD,PHL,9
2006,MCO,FLL,1
2008,MSY,BHM,1
2008,PHL,MDW,5
2008,SDF,PHX,1
1988,JFK,BUF,18
1991,DTW,BWI,11
1993,SYR,BOS,10
1994,PIT,DTW,22
2004,OMA,ORD,17
2006,RDU,DCA,1
2006,CMH,LAS,1
2007,MCI,TPA,1
2008,LAS,LIT,1
2008,LAX,BNA,3
2008,LAX,MCI,3
1992,BGM,PIT,14
1993,PIT,DTW,5
1997,CLE,PHX,21
1997,CVG,PHX,73
2000,CVG,PHX,78
2001,DFW,PHL,3
2004,PVD,ORD,5
2004,MSP,ORD,5
2005,LAX,OAK,4
2006,PHL,IND,1
2006,PHL,SFO,1
2006,SFO,LAS,3
2007,BWI,PVD,6
2007,ISP,PBI,2
2008,MCI,BWI,3
2008,MCO,ABQ,2
2008,MDW,SFO,3
2008,MDW,STL,10
2008,SJC,LAS,7
1991,CLE,PIT,2
1991,PIT,BNA,7
1992,PHL,PIT,2
2003,SFO,SAN,29
2003,TUS,DEN,8
2005,ORD,SEA,24
2007,BOI,GEG,2
2008,MSY,MCO,2
2008,PVD,TPA,1
2002,CLT,DTW,7
2003,DFW,ORD,12
2007,DEN,SLC,4
2008,IND,TPA,1
2008,MCO,ALB,3
1988,SAN,LAS,18
1989,ORD,DTW,38
1990,PIT,SFO,105
1991,CLT,DCA,11
1993,DTW,PIT,23
2001,MKE,PIT,7
2006,PHX,IAD,2
2007,BNA,HOU,1
2007,BNA,SAN,1
2008,LAX,HOU,2
2008,MDW,CLE,7
2008,MSY,DAL,5
2008,OAK,ONT,10
1994,MIA,PIT,14
2002,PIT,CMH,9
2002,BOS,PHL,20
2006,BWI,PHX,3
2006,CLT,MDT,1
2007,SNA,PHX,6
2007,LAS,SLC,8
2008,SJC,SNA,3
1988,OAK,SAN,42
1990,ABE,PIT,40
1992,MCO,PIT,26
2001,AVP,PIT,12
2004,DEN,SNA,13
2006,DCA,PVD,5
2007,TPA,MHT,1
2007,LAS,OAK,9
2007,MDW,LIT,1
2008,MCI,TUL,3
2008,PHX,SJC,5
2008,SJC,LAX,12
1990,SAN,PSP,13
1990,FLL,PHL,23
1991,GSO,EWR,10
1992,EWR,IND,8
2002,DCA,PIT,11
2003,DEN,RNO,4
2006,MCO,CLT,5
2006,RSW,CLT,1
2007,TPA,MCI,1
2007,DAL,OKC,2
2007,FLL,MCO,4
2007,LAX,BNA,3
2007,LAX,PHX,10
2008,MDW,HOU,5
2008,OAK,LAX,16
2008,PDX,RNO,3
2008,PHX,AUS,4
1990,LAX,SAN,46
1992,ROC,LGA,2
1992,MCI,SFO,1
1992,LGA,PIT,10
2002,FLL,CLT,15
2003,STL,ORD,3
2005,DEN,BOS,18
2006,BOS,PHL,11
2006,PIT,CLT,1
2006,DCA,RDU,1
2007,DTW,BWI,2
2007,LAX,SMF,6
2007,MCI,DAL,4
2008,LBB,ABQ,1
2008,MCO,ORF,2
2008,MDW,BWI,8
2008,SAN,RNO,1
