Year,UniqueCarrier,Origin,Dest,count
2006,US,LAS,CLT,3
2006,US,LAS,ORD,3
2006,US,PHX,STL,3
2007,WN,BWI,ABQ,1
2007,WN,ELP,SAT,4
2008,WN,MDW,OAK,5
2008,WN,OAK,SLC,5
2008,WN,PHL,PVD,5
2008,WN,SDF,MDW,5
1992,US,FLL,PHL,31
2003,UA,IAH,DEN,25
2006,US,CLT,DCA,18
2007,WN,HOU,BWI,4
2007,WN,JAX,IND,1
2007,WN,LAS,TUS,6
2008,WN,SAT,BWI,2
1992,US,RIC,PIT,6
1992,US,CLT,CHA,4
1993,US,IND,BWI,24
1994,US,BOS,DCA,27
2003,UA,SFO,SAN,78
2004,UA,DTW,ORD,25
2006,US,LAS,ONT,2
2006,US,PHX,SFO,5
2007,WN,IAD,LAS,1
2007,WN,MCO,DTW,1
2008,WN,PHL,MCO,7
1987,PS,MFR,SFO,20
1989,UA,IAH,MSY,26
1990,US,LAS,BUR,29
2003,UA,MIA,ORD,6
2005,UA,ORD,SLC,30
2006,US,BDL,PIT,2
2006,US,BOI,PHX,4
2007,WN,ABQ,LBB,1
2008,WN,LAS,PDX,4
1988,PS,LAS,SAN,46
1991,US,CHS,CLT,24
1992,US,MSP,PIT,31
2004,UA,ORD,MCI,31
2006,US,BOS,SJU,2
2006,US,EWR,LAS,3
2006,US,PVD,DCA,4
2006,US,CLE,LAS,1
2007,WN,TPA,ALB,1
2007,WN,ABQ,HOU,3
2008,WN,LAS,HOU,4
2008,WN,MCO,STL,4
1991,US,LAX,TPA,10
2003,UA,ORD,SNA,6
2006,US,LAX,PHX,10
2006,US,MIA,PHX,1
1987,PS,LAX,PHX,5
1988,PS,OAK,SAN,91
1994,US,STL,LGA,3
2007,WN,MDW,HOU,6
2008,WN,PHX,MCO,1
1990,US,PSP,SAN,31
1991,US,MYR,CLT,27
1993,US,MCO,PIT,59
1993,US,LGA,GSP,26
1995,US,PIT,PHL,313
1998,HP,BWI,PHX,31
1998,HP,DEN,PHX,206
2001,US,PHL,CLT,61
2003,UA,PVD,ORD,25
2006,US,CLT,LAX,8
2006,US,CLT,STT,2
2007,WN,TPA,JAX,2
2007,WN,AUS,BWI,2
2007,WN,BNA,BDL,1
2007,WN,LBB,LAS,1
2008,WN,JAX,PHL,2
2008,WN,LAS,OAK,14
2008,WN,ORF,TPA,1
1989,UA,SEA,DEN,31
1990,US,PIT,SAN,31
1992,US,BUF,PIT,31
1996,US,CLT,PHX,62
2004,UA,DFW,ORD,31
2005,UA,ORD,SMF,5
2005,UA,DEN,MCI,31
2006,US,EWR,PHX,8
2006,US,PHX,ANC,1
2006,US,PHX,MKE,2
2006,US,RDU,DCA,1
2007,WN,STL,MCO,4
2007,WN,LAS,ORF,1
2008,WN,PDX,SMF,7
2008,WN,SAN,BNA,2
2000,WN,BUR,PHX,197
2003,UA,SEA,SFO,6
2004,UA,MSP,ORD,21
2005,UA,ORD,BUF,5
2007,WN,HOU,DEN,2
2007,WN,LIT,DAL,7
1988,PI,EWR,ORF,5
1988,PI,CLT,LEX,5
1991,US,PIT,BOS,28
1992,US,IND,DCA,25
1992,US,PIT,MCO,31
1993,US,PIT,EWR,20
2002,US,PHL,DFW,31
2006,US,PHX,AUS,2
2007,WN,AUS,SAN,2
2007,WN,BWI,PVD,12
2007,WN,DEN,MCO,2
2008,WN,MDW,STL,12
2008,WN,OKC,PHX,3
1987,PS,OAK,BUR,53
1987,PS,TUS,LAX,20
1989,UA,OGG,SFO,29
1990,US,PIT,BUF,29
2002,US,BOS,PHL,31
2003,UA,DTW,DEN,50
2004,UA,ORD,MHT,31
2005,UA,SFO,PDX,53
2005,UA,RIC,ORD,26
2006,US,CLT,PIT,12
2006,US,PHX,BDL,1
2006,US,PIT,LGA,4
2006,US,PIT,MCO,4
2006,US,PIT,PHL,9
2007,WN,STL,LIT,2
2007,WN,AMA,LAS,1
2007,WN,HOU,HRL,9
2008,WN,OAK,ONT,12
1989,UA,DEN,ORD,227
1989,UA,ORD,PHX,3
1991,US,ISP,PIT,7
2000,HP,BWI,PHX,93
2006,US,BTV,DCA,2
2006,US,CMH,LAS,3
2006,US,ORD,PHX,5
2006,US,ORD,PIT,4
2007,WN,BNA,ONT,1
2007,WN,ELP,LAX,3
2007,WN,HOU,LAX,4
2007,WN,LAS,BWI,3
2007,WN,MAF,AUS,2
1992,US,PIT,ABE,24
1997,UA,DEN,PHX,260
2002,US,PIT,DAY,31
2003,UA,BOS,DEN,25
2006,US,CLT,MCI,2
2006,US,CLT,MHT,4
2006,US,PHX,OAK,4
2007,WN,FLL,BWI,5
2007,WN,MCO,MHT,4
2008,WN,ONT,SMF,12
1988,PS,SFO,LAX,96
1990,US,SFO,PSP,31
1994,US,MDT,PIT,29
1994,US,HPN,PIT,4
2006,US,CLT,PVD,10
2006,US,DFW,DCA,6
2007,WN,BOI,GEG,3
2007,WN,FLL,PHL,3
2008,WN,LAX,SMF,10
2008,WN,LIT,PHX,1
2008,WN,MCI,DAL,6
2008,WN,MCO,PVD,6
2008,WN,PHX,ONT,12
2008,WN,PHX,SAN,14
1990,US,PSP,SFO,30
1991,US,GSO,EWR,29
1997,WN,AUS,PHX,122
2001,US,DTW,CLT,31
2002,US,CLT,CHS,4
2003,UA,TPA,DEN,6
2007,WN,SMF,PDX,5
2007,WN,LAX,SMF,10
2008,WN,MHT,PHX,1
2008,WN,ORF,MDW,2
2008,WN,PHX,BWI,4
1987,PS,OAK,SFO,23
1993,US,EWR,BUF,3
1993,US,PIT,ABE,60
2005,UA,ROC,ORD,31
2005,UA,ORD,DFW,31
2006,US,DCA,IAH,2
2006,US,PHL,MHT,3
2006,US,PHL,RIC,2
2006,US,SEA,PHL,2
2007,WN,JAN,MDW,2
2007,WN,LAS,BNA,4
2007,WN,LAS,PHX,19
2008,WN,ISP,MDW,4
2008,WN,LAS,LIT,1
1989,UA,EWR,ORD,50
1989,UA,PHL,DEN,3
1990,US,SFO,SEA,29
1994,US,BOS,PIT,27
2006,US,CLT,BUF,8
2008,WN,IND,PHX,2
2008,WN,MDW,RDU,4
2008,WN,SJC,LAS,9
1993,US,LGA,CLE,24
2000,HP,BOS,PHX,123
2002,US,CLT,RIC,4
2004,UA,LAX,DFW,31
2005,UA,SAN,ORD,57
2006,US,DCA,JAX,6
2006,US,LAS,MSP,2
2006,US,LAS,PIT,2
2006,US,PHL,LAX,3
2006,US,PHL,MCI,1
2006,US,PHX,BUR,3
2006,US,PHX,FLL,2
2007,WN,MCO,BUF,2
2008,WN,PHL,CMH,3
1993,US,TPA,LGA,31
1993,US,BWI,SFO,26
2004,UA,ORD,IND,31
2005,UA,LAX,OAK,30
2006,US,DEN,PHX,14
2007,WN,TPA,IAD,2
2007,WN,TPA,ISP,3
2008,WN,LAX,SLC,5
2008,WN,MCO,IND,2
2008,WN,ONT,SJC,9
1989,UA,PHL,ORD,30
1990,US,PIT,IAH,30
1995,US,SYR,PHL,13
2006,US,DFW,LAS,7
2006,US,MCO,PHL,8
2007,WN,IAD,MDW,7
2007,WN,MCO,BWI,9
2008,WN,LAX,RNO,3
2008,WN,MCO,SDF,2
1991,US,PHF,PIT,20
1995,US,STL,PHL,62
2002,US,SFO,PIT,31
2006,US,LAS,SFO,7
2007,WN,LAX,ELP,3
2008,WN,LAS,MHT,1
2008,WN,MDW,SLC,2
2008,WN,PHX,SDF,1
2008,WN,RSW,PHL,1
1996,WN,BUR,PHX,207
2001,US,PHL,IND,31
2002,US,CLT,FLL,7
2006,US,DCA,BNA,2
2006,US,MCI,DCA,1
2006,US,PHL,RSW,3
2006,US,PHL,SYR,1
2006,US,PHX,OMA,2
2007,WN,ALB,BWI,7
2007,WN,BWI,MSY,1
2007,WN,ISP,MDW,7
2008,WN,LAS,SLC,8
2008,WN,PBI,PHL,2
2008,WN,PIT,MCO,3
1989,UA,SFO,IAH,30
1989,UA,DEN,FAT,30
1991,US,PIT,BTV,7
1991,US,EWR,BOS,52
1997,HP,COS,PHX,119
2001,US,BUF,PIT,27
2005,UA,PIT,DEN,26
2006,US,BOS,LAS,6
2006,US,PHL,DCA,2
2007,WN,TPA,PBI,3
2007,WN,HOU,FLL,2
2007,WN,MAF,ELP,1
2008,WN,MCI,ABQ,2
2008,WN,OKC,LAS,1
2008,WN,PHX,LAS,18
1987,PS,SAN,LAS,4
1989,UA,HNL,KOA,31
2006,US,BOS,LGA,32
2006,US,SJU,BOS,1
2007,WN,BUF,BWI,7
2007,WN,LAX,BWI,2
2008,WN,RNO,SLC,1
1987,PS,BUR,SJC,22
1989,UA,ORF,ORD,1
1990,US,MCO,PIT,30
1992,US,RSW,CLT,24
1993,US,DFW,PIT,31
1994,US,STL,PHL,3
2002,US,CLT,MCI,27
2007,WN,BDL,PHL,3
2007,WN,BUF,PHX,1
2007,WN,BWI,LAS,3
2007,WN,LAS,TPA,1
2008,WN,IAD,TPA,2
2008,WN,MCO,AUS,1
2008,WN,RDU,BNA,5
1988,PI,SYR,BOS,52
1991,US,EWR,BUF,31
2004,UA,ORD,DTW,25
2006,US,DCA,CLT,18
2007,WN,AUS,MAF,2
2007,WN,DAL,MAF,6
2007,WN,LAX,TUS,5
2007,WN,LBB,AUS,2
2007,WN,MCI,SEA,1
2008,WN,MDW,CMH,8
2008,WN,SJC,PDX,4
1987,PS,LAX,RNO,4
1990,US,TPA,PIT,30
1991,US,PIT,TPA,24
1992,US,AVP,PIT,25
1992,US,SBN,DAY,6
1993,US,PIT,DCA,57
1994,US,CLT,CAE,27
1994,US,ORD,CLT,31
1994,US,IAH,PIT,31
2002,US,ORF,CLT,31
2006,US,DTW,PHX,8
2006,US,LAS,DTW,2
2007,WN,HOU,AUS,8
2007,WN,LAX,HOU,4
2008,WN,PHX,DEN,6
1987,PS,SFO,BUR,75
1996,UA,DEN,PHX,285
1998,WN,AUS,PHX,103
2001,US,CLT,JAX,31
2003,UA,OKC,DEN,25
2005,UA,BOS,DEN,26
2006,US,CLE,PHX,4
2006,US,LAS,PHX,12
2007,WN,DTW,STL,3
2007,WN,LAS,MDW,11
2008,WN,MCO,ORF,2
2008,WN,PDX,MCI,1
2008,WN,RDU,MDW,4
1992,US,CLT,PHL,6
1994,US,MCI,IND,23
2001,US,PIT,PVD,6
2002,US,PIT,SFO,30
2004,UA,DEN,DFW,6
2004,UA,IND,DEN,25
2006,US,LAS,CMH,1
2007,WN,STL,ABQ,1
2007,WN,DAL,LBB,8
2008,WN,LAS,MCI,6
2008,WN,LAS,MDW,12
2008,WN,PHX,BHM,1
2008,WN,RNO,PDX,4
1990,US,PIT,BOS,30
1993,US,DTW,PIT,29
1994,US,PIT,ERI,4
2006,US,DCA,RDU,2
2006,US,PHL,DFW,5
2007,WN,LIT,PHX,1
2008,WN,LAS,BWI,3
2008,WN,LAS,OKC,1
2008,WN,MCI,TPA,2
2008,WN,MDW,ISP,4
1988,PS,BUR,OAK,122
1991,US,PHL,ORF,24
1993,US,PIT,BDL,29
1993,US,ROC,PHL,29
1994,US,CLE,PIT,31
2002,US,PHL,BOS,31
2004,UA,DFW,DEN,6
2005,UA,GEG,DEN,5
2007,WN,GEG,OAK,1
2007,WN,HOU,BHM,2
2008,WN,MCO,ABQ,2
2008,WN,MDW,RNO,1
1987,PS,BUR,LAS,65
1994,US,DCA,ROC,27
2001,US,CLT,GSO,31
2003,UA,DEN,IAD,6
2004,UA,LAS,DEN,25
2005,UA,SLC,DEN,5
2006,US,FLL,LGA,4
2007,WN,STL,OMA,3
2007,WN,AUS,BNA,3
2007,WN,BNA,BHM,2
2007,WN,BWI,BHM,3
2007,WN,CMH,STL,1
2007,WN,LAS,PVD,1
2007,WN,MCO,SDF,1
2008,WN,SEA,BNA,1
1988,PI,GSO,BWI,53
1991,US,PIT,BWI,30
1999,US,STX,PHL,31
2001,US,BWI,CLT,15
2002,US,PIT,CMH,26
2003,UA,PHL,ORD,50
2004,UA,MHT,ORD,12
2004,UA,DEN,ATL,31
2005,UA,DEN,LAX,30
2006,US,DCA,ATL,4
2006,US,LAS,EWR,1
2006,US,MCI,PHL,1
2007,WN,SMF,SEA,4
2007,WN,ABQ,SLC,1
2007,WN,JAX,PHL,2
2008,WN,PHX,PIT,1
2008,WN,RNO,PHX,3
2008,WN,SJC,RNO,4
1987,PS,SMF,BUR,30
1988,PI,ORF,BWI,30
1992,US,CLT,RDU,25
1997,HP,DEN,PHX,178
2002,US,PIT,PVD,5
2006,US,BWI,CLT,16
2006,US,BWI,LAS,3
2006,US,CLT,CMH,6
2006,US,LAS,PDX,2
2006,US,SFO,PHL,2
2006,US,ALB,PHL,2
2007,WN,BWI,CLE,5
2007,WN,DAL,TUL,7
2007,WN,DEN,BNA,1
2008,WN,PHL,PIT,7
1991,US,CLT,DCA,31
2004,UA,ORD,MSP,51
2004,UA,ORD,PHL,25
2005,UA,DEN,BOI,31
2006,US,CLT,ORD,10
2006,US,CLT,ROC,2
2007,WN,BNA,SAT,2
2007,WN,ELP,LBB,1
2008,WN,RSW,BWI,2
1987,PS,LAX,SJC,19
1991,US,MCO,PIT,31
1991,US,SYR,EWR,21
1992,US,PIT,LAX,31
1992,US,DCA,IND,6
1994,US,MCO,CLT,31
1999,AA,SJU,PHL,63
2002,US,CLT,STL,31
2005,UA,SAT,ORD,26
2005,UA,BOI,DEN,9
2007,WN,AMA,DAL,8
2007,WN,DAL,HOU,29
2007,WN,MDW,CLE,8
1990,US,CLE,PHL,27
2006,US,JAX,CLT,7
2006,US,PHX,IAD,2
2007,WN,FLL,MDW,5
2008,WN,PHX,BUF,1
1991,US,BOS,ROC,25
1992,US,ALB,BWI,27
2004,UA,OAK,DEN,1
2005,UA,SFO,SLC,31
2006,US,CLT,SYR,2
2006,US,SFO,PHX,5
2006,US,TPA,PIT,2
2007,WN,STL,DTW,2
2007,WN,JAX,BNA,4
2007,WN,MDW,LAS,11
2008,WN,ISP,MCO,6
2008,WN,LAS,MAF,1
1988,PS,LAX,LAS,28
1990,US,CMH,IND,27
1990,US,PIT,ALB,26
1994,US,DCA,CLT,27
1999,US,TPA,PHL,235
2003,UA,ORD,PHL,25
2006,US,PIT,LAS,2
2007,WN,ISP,MCO,5
2007,WN,MCO,RSW,3
2008,WN,LAS,SDF,1
2008,WN,MCO,SAT,2
1988,PS,LAS,BUR,45
1989,UA,SFO,HNL,69
1991,US,MCI,PIT,6
1992,US,SAN,LAX,23
1994,US,MCO,LGA,30
1999,US,SEA,PHL,62
1999,DL,ATL,PHX,62
2002,US,RDU,CLT,59
2003,UA,DFW,SFO,25
2007,WN,HOU,MDW,6
2007,WN,MDW,IAD,7
2008,WN,ISP,FLL,3
2008,WN,ONT,BNA,1
2008,WN,PIT,MDW,6
2008,WN,SAT,SAN,1
1990,US,FLL,PHL,29
2001,US,CHS,DCA,30
2003,UA,ORD,BTV,25
2006,US,MCO,CLT,9
2006,US,MCO,PHX,2
2006,US,PHX,CLE,2
2008,WN,LAX,ELP,3
2008,WN,PHL,TPA,4
2008,WN,PHX,MDW,8
1987,PS,SFO,SCK,4
1994,US,BOS,EWR,52
1994,US,SYR,PIT,31
1995,US,RDU,PHL,120
1996,AA,DFW,PHX,308
2001,US,PHL,MIA,31
2005,UA,SJC,DEN,5
2006,US,DEN,PIT,4
2006,US,PHX,ATL,4
2007,WN,STL,SLC,2
2007,WN,BOI,PHX,1
2007,WN,CMH,BWI,5
2007,WN,DAL,OKC,5
2007,WN,JAN,HOU,4
2008,WN,LAS,PHX,18
2008,WN,LAS,SJC,9
2008,WN,MDW,SJC,2
2008,WN,OKC,DAL,5
1991,US,LAS,SFO,5
1992,US,GNV,CLT,4
1992,US,PHX,TUS,23
1995,US,SRQ,PHL,31
1999,TW,STL,PHL,174
2001,US,PIT,MSP,27
2002,US,GSO,PIT,4
2003,UA,ORD,MIA,31
2004,UA,SFO,DFW,6
2006,US,CLT,RSW,8
2007,WN,TPA,PHX,1
2007,WN,TUL,HOU,3
2007,WN,BNA,HOU,5
2007,WN,ELP,AUS,4
2008,WN,MDW,SAN,5
2008,WN,MSY,DAL,6
2008,WN,MSY,HOU,11
2008,WN,PHL,MHT,6
1989,UA,MSY,IAH,27
1994,US,BTV,PHL,3
2002,US,MCI,PIT,31
2006,US,PHL,BTV,1
2006,US,RIC,PHL,2
2007,WN,AUS,HOU,8
2007,WN,FLL,TPA,9
2007,WN,GEG,PDX,4
2008,WN,PHX,PVD,1
2008,WN,SAT,LAS,4
2008,WN,SEA,MDW,3
1988,PI,SYR,BWI,23
1990,US,IND,LAX,62
1992,US,PIT,LGA,10
1994,US,PIT,MDW,31
1994,US,MHT,PIT,3
2002,US,BOS,PIT,23
2003,UA,MCI,ORD,54
2004,UA,PIT,ORD,25
2006,US,BOS,PHX,6
2006,US,LAS,PHL,5
2006,US,PHL,PBI,4
2006,US,PIT,CLT,6
2007,WN,MCI,MCO,3
2008,WN,LAS,PVD,1
2008,WN,PIT,TPA,1
1988,PI,CHS,ORF,26
1990,US,SAN,PIT,31
1992,US,PHL,BUF,4
2003,UA,SJC,DEN,50
2004,UA,SAT,DEN,31
2006,US,PHX,RNO,4
2007,WN,LAX,AUS,1
2008,WN,LAX,MCI,4
2008,WN,MDW,DEN,6
2008,WN,SEA,GEG,4
1991,US,CLE,LAS,5
2002,US,ATL,CLT,31
2004,UA,ORD,CVG,25
2006,US,PHL,PWM,1
2007,WN,SNA,LAS,4
2007,WN,TPA,PHL,3
2007,WN,BDL,MDW,3
2007,WN,IND,MDW,4
2008,WN,LIT,STL,2
2008,WN,MDW,LIT,1
1992,US,DCA,GSO,22
1993,US,LGA,FLL,23
1994,US,PIT,FLL,26
2000,HP,BUR,PHX,145
2003,UA,ORD,IAD,6
2005,UA,ORD,SJC,5
2005,UA,SNA,ORD,25
2006,US,PHX,SJC,6
2007,WN,MCI,ABQ,2
2008,WN,MDW,SFO,3
2008,WN,PHX,ABQ,11
2008,WN,PHX,OMA,3
2008,WN,RDU,BWI,6
2008,WN,SAN,LAS,14
1989,UA,ORD,PDX,27
1991,US,PIT,GSO,6
1991,US,BNA,PIT,24
1991,US,SAN,SJC,6
1993,US,MIA,PIT,26
1994,US,CLT,ORF,20
1994,US,PHL,TPA,31
1994,US,TPA,BOS,4
1996,HP,DEN,PHX,177
2000,HP,DEN,PHX,178
2001,US,BOS,ROC,27
2002,US,PBI,BWI,5
2005,UA,PHL,DEN,5
2006,US,DTW,LAS,4
2006,US,MYR,CLT,5
2006,US,PDX,LAS,2
2006,US,PHX,SNA,7
2007,WN,IND,MCO,1
2008,WN,MCI,SEA,1
2008,WN,OAK,TUS,1
2001,US,PIT,IAD,25
2002,US,BWI,CLT,27
2005,UA,ORD,BOS,57
2006,US,BDL,DCA,10
2007,WN,MDW,BHM,2
2008,WN,MAF,AUS,2
2008,WN,MCI,LAS,6
2008,WN,MCI,SMF,1
2008,WN,MSY,TPA,3
2008,WN,PHX,SEA,3
1989,UA,DEN,LAX,31
1993,US,BWI,IND,30
2004,UA,ORD,PBI,29
2006,US,BWI,PHL,6
2006,US,IAH,PHX,5
2006,US,PHL,JAX,4
2006,US,PHX,PIT,3
2007,WN,LAS,HOU,4
2008,WN,OAK,GEG,2
1991,US,PIT,ROC,29
1991,US,PIT,MDT,26
1993,US,PVD,PIT,31
1995,US,SFO,PHL,58
1996,DL,CVG,PHX,126
2002,US,IND,CLT,31
2003,UA,DEN,ATL,25
2004,UA,DEN,OAK,33
2004,UA,ORD,FLL,25
2006,US,DCA,LGA,32
2006,US,PHL,PVD,5
2007,WN,SNA,SMF,7
2007,WN,HOU,OAK,1
2008,WN,MCO,IAD,2
2008,WN,MCO,MDW,8
2008,WN,MDW,BUF,3
2008,WN,RNO,LAX,3
2008,WN,SAN,MCI,2
1988,PS,SFO,BUR,56
1989,UA,DEN,HNL,27
1989,UA,BWI,ORD,29
1994,US,MIA,LGA,30
2002,US,RDU,LGA,26
2006,US,PHX,EWR,4
2007,WN,TPA,BNA,4
2007,WN,DAL,ABQ,7
2008,WN,LAS,PHL,2
2008,WN,MCI,TUL,3
2008,WN,MCO,BNA,5
2008,WN,MHT,MCO,5
1989,UA,HNL,LAX,66
1990,US,PIT,SFO,119
2004,UA,CMH,DEN,6
2005,UA,PDX,DEN,26
2006,US,FLL,PHX,3
2006,US,OMA,PHX,2
2007,WN,JAX,HOU,1
2007,WN,MCO,PHX,1
2008,WN,SEA,BOI,3
1987,PS,LAX,SFO,210
1988,PI,LYH,CHO,26
1989,UA,ORD,BOS,27
1989,UA,RIC,ORD,30
2001,US,PIT,AVP,31
2001,US,BUF,CLT,30
2001,US,DTW,PIT,24
2003,UA,PHX,DEN,25
2003,UA,SFO,RNO,25
2003,UA,SYR,ORD,6
2004,UA,MCO,IAD,25
2006,US,SYR,DCA,2
2007,WN,CLE,MDW,8
2007,WN,LAS,SEA,3
1989,UA,ORD,SDF,3
1992,US,EWR,IND,24
1993,US,PIT,IND,30
2001,US,PHL,DCA,31
2004,UA,ORD,PDX,37
2006,US,BOS,CLT,18
2006,US,EWR,CLT,14
2006,US,PIT,BDL,1
2006,US,SAN,PHL,2
2007,WN,SNA,PHX,8
2007,WN,DEN,BWI,2
2007,WN,LAS,IAD,1
2007,WN,LAS,SDF,1
2008,WN,MCO,MSY,4
2008,WN,MDW,FLL,5
1996,HP,CMH,PHX,124
2006,US,CLT,JAX,14
2006,US,IND,CLT,3
2006,US,ROC,PHL,1
2007,WN,CLE,STL,2
2007,WN,LAS,MCO,1
2008,WN,MCI,SAN,2
2008,WN,PDX,RNO,4
2008,WN,PVD,MDW,4
1987,PS,BUR,OAK,81
2002,US,CLT,ATL,31
2005,UA,MHT,ORD,31
2005,UA,DEN,SNA,26
2007,WN,LAS,SMF,7
2008,WN,LAS,BUF,1
2008,WN,MDW,PDX,2
1989,UA,ORD,EWR,25
1994,US,ORF,EWR,25
1995,UA,SFO,PHL,31
2002,US,MHT,CLT,26
2003,UA,ORD,MDT,31
2006,US,FLL,EYW,6
2006,US,LAS,MCO,1
2006,US,PIT,PBI,1
2007,WN,IND,BWI,3
2007,WN,LAS,ONT,10
2007,WN,MCI,SAN,2
2008,WN,LAS,IAD,1
2008,WN,MDW,BHM,2
2008,WN,SJC,PHX,6
1990,US,MSY,PIT,26
1992,US,MCO,PIT,30
2006,US,OGG,PHX,1
2007,WN,BNA,RDU,5
2007,WN,BWI,JAX,3
2008,WN,OAK,SAN,18
2008,WN,PHX,SMF,7
2008,WN,SEA,MCI,1
2008,WN,SEA,RNO,2
1992,US,ALB,LGA,23
1993,US,BTV,PHL,30
1994,US,PHL,ROC,4
1999,US,RIC,PHL,4
2001,US,STL,CLT,31
2006,US,CLT,BDL,12
2006,US,PHL,BOS,16
2006,US,RDU,PHL,4
2007,WN,ABQ,TUS,2
2007,WN,BHM,TPA,2
2007,WN,MCO,AUS,1
2008,WN,MDW,BDL,3
1992,US,JAX,CLT,25
2003,UA,PIT,ORD,25
2003,UA,TUS,DEN,25
2005,UA,DSM,ORD,23
2006,US,DEN,LAS,8
2006,US,FLL,MCO,2
2006,US,LAS,SEA,4
2006,US,ONT,LAS,2
2007,WN,LAS,ALB,1
2007,WN,MDW,CMH,7
2008,WN,SEA,PHX,3
1991,US,TLH,MCO,21
1991,US,PIT,MDW,30
1991,US,CRW,PIT,7
1993,US,BWI,PHX,24
1994,US,GSO,DCA,25
1994,US,LAX,PIT,16
2001,US,AVP,PIT,31
2002,US,PIT,LGA,30
2003,UA,SFO,SEA,31
2004,UA,DEN,MCI,31
2006,US,TPA,CLT,8
2008,WN,LAX,AUS,1
1991,US,IND,MCI,29
1991,US,EWR,PIT,24
1995,US,ROC,PHL,120
1995,AA,SJU,PHL,93
2002,US,STL,PIT,31
2002,US,PHL,MCI,24
2004,UA,SEA,DEN,25
2005,UA,DEN,BOS,35
2006,US,IAD,PHX,2
2006,US,LAS,RNO,1
2006,US,LGA,BOS,16
2006,US,PIT,LAX,1
2007,WN,STL,DAL,5
2007,WN,BOI,SLC,3
2007,WN,BWI,BUF,7
2007,WN,FLL,BNA,2
2007,WN,HOU,SAT,10
2007,WN,LAS,BDL,1
2008,WN,MDW,PHL,8
2008,WN,OAK,BNA,1
1988,PS,LAX,SAN,13
1989,UA,FLL,ORD,1
1990,US,MDT,PIT,30
1991,US,TPA,LAX,31
2006,US,CLT,PHX,8
2008,WN,PIT,PHX,1
1988,PS,OAK,BUR,105
1989,UA,ORD,OMA,28
1992,US,PIT,HTS,3
2002,US,CLE,CLT,31
2003,UA,IND,DEN,32
2004,UA,TPA,ORD,25
2005,UA,SEA,LAX,5
2006,US,CLT,LGA,18
2006,US,DCA,PWM,2
2006,US,CLT,SAN,1
2007,WN,IAD,TPA,2
2008,WN,ISP,TPA,3
1991,US,EWR,SYR,20
1991,US,ICT,MCI,6
1992,US,LAX,SFO,29
2000,UA,DEN,PHX,259
2002,US,PHL,DTW,31
2006,US,CLT,MCO,18
2006,US,FLL,DCA,10
2007,WN,AUS,LAX,1
2007,WN,MCO,PHL,7
2008,WN,LAS,ISP,1
2008,WN,LAS,SAN,14
2008,WN,LBB,DAL,8
1987,PS,BUR,SMF,23
1989,UA,EWR,LAX,31
1989,UA,OMA,ORD,26
1990,US,BDL,PIT,31
1992,US,DFW,PHL,22
1995,TW,STL,PHL,155
2006,US,BDL,CLT,12
2006,US,BOS,PIT,6
2006,US,PIT,MIA,1
2007,WN,STL,CMH,1
2007,WN,ALB,MCO,3
